Component,,,,Quantity,Part Number,Description,Link
,,,,,,,
Adhesive,,,,5 oz,,"SCIGRIP 10315 16 Acrylic Plastic Cement, Low-VOC, Medium Bodied and Fast-Setting, Clear, 5 fl oz Tube",https://www.amazon.com/gp/product/B003HNFLMY/ref=ox_sc_act_title_1?smid=ATVPDKIKX0DER&psc=1
,,,,,,,
Bottom Cap + Tube,,,,,,,
,Inner Cap,,,1,,"Acrylic Circle, 3"" x 0.236""",https://www.tapplastics.com/product/plastics/acrylic_circles/clear_acrylic_circles/140
,Outer Cap,,,1,,"Acrylic Sheet, 2'x2' x 1/8""",https://www.tapplastics.com/product/plastics/plastic_sheets_rolls/acrylic_sheets_clear/508
,Lightstrip inner-tube,,,1,,"Clear Extruded Acrylic Square Tubing, 1""OD x 1/16"" Wall x 6' Length",https://www.tapplastics.com/product/plastics/plastic_rods_tubes_shapes/clear_square_acrylic_tubing/142
,Padding + Adhesive,,,1,Sikaflex¨-1a,"One part polyurethane, elastomeric sealant/adhesive",https://www.amazon.com/Sika-Sikaflex-Polyurethane-Caulk-Color/dp/B01BSZ7FV2/ref=sr_1_24?dchild=1&keywords=Sikaflex%C2%AE-1a&qid=1608501766&s=sporting-goods&sr=1-24-catcorr
,LED Strips,,,4,,"5m APA102 Smart LED Pixel Strip 30 LEDs/Pixels/m,Non-Waterproof",https://www.amazon.com/gp/product/B0782MGBJG/ref=ox_sc_act_title_1?smid=A19OY9D2EAWSH3&th=1
,LED  Strip Combiner PCB,,,,,,
,,PCB,,1,,LEDStripCombinerPCB.zip,
,,4 position header,,4,,CONN HEADER VERT 4POS 2.54MM,https://www.digikey.com/en/products/detail/te-connectivity-amp-connectors/5-146274-4/2275868
,,,,,,,
Tube,,,,1,,"HDPE plastic Tube - 2 7/8"" I.D. x 3 1/4"" O.D.",https://www.qcsupply.com/310402-2-7-8-id-3-1-4-od-choretime-drop-tube.html
,,,,,,,
Top Cap + Electronics,,,,,,,
,Inner Cap,,,1,,"Acrylic Circle, 3"" x 0.236""",https://www.tapplastics.com/product/plastics/acrylic_circles/clear_acrylic_circles/140
,Outer Cap,,,1,,"Acrylic Sheet, 2'x2' x 1/8""",https://www.tapplastics.com/product/plastics/plastic_sheets_rolls/acrylic_sheets_clear/508
,Electronics Sleeve,,,1,,Tri-Guard Molding 3/4 in x 3/4 in x 4 ft,https://www.tapplastics.com/product/plastics/plastic_rods_tubes_shapes/corner_molding/152
,Sleeve to Cap Mount,,,1,,Chemcast Cast Acrylic Sheets,https://www.tapplastics.com/product/plastics/plastic_sheets_rolls/acrylic_sheets_cast_clear/510
,Radio Mounting Surface,,,1,,Angular Acrylic bar for radio mounting,https://www.tapplastics.com/product/plastics/plastic_rods_tubes_shapes/corner_angle/151
,Battery Holders,,,,,,
,,Single AA battery holder,,3,BCAAL-ND,HOLDER BATT 1AA CELL SLDR LUGS,https://www.digikey.com/en/products/detail/mpd-memory-protection-devices/BCAAL/66729
,,Dual in-line AA battery holder,,1,BC12AAW-ND,HOLDER 2 AA CELL W/6 WIRE LEADS,https://www.digikey.com/en/products/detail/mpd-memory-protection-devices/BC12AAW/2439232?s=N4IgTCBcDaIEIGECMYCCqDqBaAcgERAF0BfIA
,,AA Batteries,,4,,AA High Capacity (2400mAh) NiMH Batteries,https://www.amazon.com/gp/product/B00HZV9WTM/ref=ppx_yo_dt_b_asin_title_o00_s00?ie=UTF8&psc=1
,Power Switch,,,1,SW619-ND,SWITCH SLIDE DPDT 3A 125V,https://www.digikey.com/en/products/detail/cw-industries/GF-126-0147/362077?s=N4IgTCBcDaIMoHUBsBGAnAWgHIBEQF0BfIA
,CapConnector PCB,,,1,,CapConnector.zip,
,Electronics,,,,,,
,,Mote Breakout PCB,,1,,MoteBreakout.zip,
,,Radio Module,,1,LTP5901-IPMA,SmartMesh IP Mesh Network LTC5800 based integrated MCU+radio,http://www.linear.com/docs/41871
,,Flash Memory,,1,FL164K0XMFI011,IC FLASH 64MBIT 108MHZ 8SOIC,https://www.digikey.com/en/products/detail/cypress-semiconductor-corp/S25FL164K0XMFIQ13/13167549
,,Multiplexer,,1,"74LVC1G157GV,125",IC MULTIPLEXER 1 X 2:1 6TSOP,https://www.digikey.com/en/products/detail/nexperia-usa-inc/74LVC1G157GV125/1023282?s=N4IgTCBcDaIIwHYwILQGYAsBOADCuKAcgCIgC6AvkA
,,P-Channel MOSFET,,1," SSM3J338R,LF",MOSFET P-CH 12V 6A,https://www.digikey.com/en/products/detail/toshiba-semiconductor-and-storage/SSM3J338RLF/5810226?s=N4IgTCBcDaIMpwLIGYBSzkA4BKAZAYgMIAqAtAHIAiIAugL5A
,,,,,,,
Misc,,,,,,,
,Mounting Screws (Power Switch),,,,,"4-40 x 1/4"" Oval Head Machine Screws, Phillips Drive, Stainless Steel",
,Mounting Screws (Bottom/Top Caps),,,,,"4-40 x 3/8"" Flat Head Machine Screws, Phillips Drive, Stainless Steel",
,Double sided tape,,,,,,
,Aheadsive backed velcro,,,,,,
,"4"" Diameter hair bands",,,,,,
,Rubber Feet,,,,,Clear Polyurethane Bumpons Square,https://www.tapplastics.com/product/plastics/plastic_rods_tubes_shapes/bumpons_square/611
,Small hanging hooks,,,,,,
